,Date,Variable,Value
309,10/07/2018,other,0.25
310,11/07/2018,other,0.12
311,11/07/2018,other,0.06
312,11/07/2018,other,0.18
313,12/07/2018,other,0.18
314,12/07/2018,other,0.24
315,12/07/2018,other,0.12
316,13/07/2018,other,0.24
317,13/07/2018,other,0.12
318,13/07/2018,other,0.18
319,14/07/2018,other,0.06
320,14/07/2018,other,0.18
321,15/07/2018,other,0.1
322,16/07/2018,other,0.012
323,16/07/2018,other,0.12
324,16/07/2018,other,0.31
325,17/07/2018,other,0.24
326,17/07/2018,other,0.12
327,18/07/2018,other,0.012
328,18/07/2018,other,0.1
329,19/07/2018,other,0.1
330,20/07/2018,other,0.1
331,20/07/2018,other,0.2
332,21/07/2018,other,0.1
333,21/07/2018,other,0.4
334,22/07/2018,other,0.1
335,23/07/2018,other,0.1
336,23/07/2018,other,0.4
337,23/07/2018,other,0.012
338,24/07/2018,other,0.1
339,25/07/2018,other,0.1
340,26/07/2018,other,0.2
341,26/07/2018,other,0.1
342,27/07/2018,other,0.1
343,27/07/2018,other,0.2
344,28/07/2018,other,0.1
345,29/07/2018,other,0.1
346,30/07/2018,other,0.2
347,30/07/2018,other,0.3
348,30/07/2018,other,0.1
349,31/07/2018,other,0.3
350,31/07/2018,other,0.12
351,01/08/2018,other,0.36
352,01/08/2018,other,0.25
353,02/08/2018,other,0.06
354,02/08/2018,other,0.18
355,03/08/2018,other,0.012
356,03/08/2018,other,0.12
357,03/08/2018,other,0.18
358,04/08/2018,other,0.12
359,04/08/2018,other,0.06
360,04/08/2018,other,0.3
361,05/08/2018,other,0.1
362,06/08/2018,other,0.25
363,06/08/2018,other,0.23
364,06/08/2018,other,0.18
365,07/08/2018,other,0.18
366,07/08/2018,other,0.06
367,07/08/2018,other,0.3
368,08/08/2018,other,0.12
369,08/08/2018,other,0.18
370,09/08/2018,other,0.54
371,09/08/2018,other,0.37
372,09/08/2018,other,0.012
373,10/08/2018,other,0.06
374,10/08/2018,other,0.18
375,11/08/2018,other,0.06
376,11/08/2018,other,0.12
377,12/08/2018,other,0.1
378,13/08/2018,other,0.06
379,13/08/2018,other,0.18
380,13/08/2018,other,0.12
381,14/08/2018,other,0.06
382,14/08/2018,other,0.12
383,15/08/2018,other,0.18
384,15/08/2018,other,0.24
385,15/08/2018,other,0.06
386,16/08/2018,other,0.12
387,16/08/2018,other,0.28
388,17/08/2018,other,0.12
389,17/08/2018,other,0.3
390,17/08/2018,other,0.1
391,18/08/2018,other,0.2
392,18/08/2018,other,0.3
393,19/08/2018,other,0.1
394,20/08/2018,other,0.1
395,21/08/2018,other,0.1
396,22/08/2018,other,0.1
397,22/08/2018,other,0.2
398,23/08/2018,other,0.1
399,24/08/2018,other,0.1
400,24/08/2018,other,0.06
401,25/08/2018,other,0.06
402,25/08/2018,other,0.1
403,26/08/2018,other,0.1
